Country,smoking_male,smoking_female,HIV_male,HIV_female,HIV_youth_male,HIV_youth_female,HIV_therapy
Algeria,30.0,1.0,54.0,46.0,0.1,0.1,81.0
Argentina,28.0,16.0,68.0,32.0,0.1,0.1,61.0
Armenia,52.0,2.0,66.0,34.0,0.1,0.1,53.0
Australia,17.0,13.0,88.0,12.0,0.1,0.1,83.0
Bahamas,20.0,3.0,56.0,44.0,0.6,0.5,52.0
Bangladesh,45.0,1.0,64.0,36.0,0.1,0.1,22.0
Barbados,15.0,2.0,66.0,34.0,0.3,0.2,50.0
Belarus,46.0,11.0,57.0,43.0,0.1,0.1,59.0
Benin,12.0,1.0,39.0,61.0,0.2,0.4,61.0
Bosnia and Herzegovina,48.0,30.0,85.0,15.0,0.1,0.1,67.0
Botswana,34.0,6.0,43.0,57.0,4.9,8.9,83.0
Bulgaria,44.0,30.0,78.0,22.0,0.1,0.1,41.0
Burkina Faso,24.0,2.0,39.0,61.0,0.2,0.4,62.0
Cabo Verde,17.0,2.0,46.0,54.0,0.1,0.2,89.0
Cambodia,34.0,2.0,47.0,53.0,0.1,0.1,81.0
Chile,42.0,34.0,83.0,17.0,0.2,0.1,63.0
Colombia,14.0,5.0,80.0,20.0,0.1,0.1,73.0
Comoros,24.0,4.0,56.0,44.0,0.1,0.1,79.0
Congo_Rep,52.0,2.0,33.0,67.0,0.5,1.6,35.0
Costa Rica,17.0,6.0,80.0,20.0,0.1,0.1,49.0
Croatia,40.0,34.0,89.0,11.0,0.1,0.1,75.0
Cuba,53.0,17.0,82.0,18.0,0.1,0.1,72.0
Czech Republic,38.0,31.0,89.0,11.0,0.1,0.1,60.0
Denmark,19.0,19.0,74.0,26.0,0.1,0.1,89.0
Djibouti,25.0,2.0,42.0,58.0,0.4,0.6,30.0
Dominican Republic,19.0,9.0,51.0,49.0,0.3,0.3,56.0
Ecuador,12.0,2.0,70.0,30.0,0.1,0.1,57.0
Egypt,50.0,0.0,70.0,30.0,0.1,0.1,31.0
El Salvador,19.0,3.0,63.0,37.0,0.2,0.1,47.0
Eritrea,11.0,0.0,39.0,61.0,0.2,0.3,51.0
Estonia,39.0,25.0,65.0,35.0,0.1,0.1,59.0
Eswatini,17.0,2.0,37.0,63.0,3.1,15.9,86.0
Ethiopia,9.0,0.0,37.0,63.0,0.2,0.4,65.0
Finland,23.0,18.0,72.0,28.0,0.1,0.1,76.0
France,36.0,30.0,74.0,26.0,0.1,0.1,83.0
Gambia,31.0,1.0,39.0,61.0,0.2,0.6,29.0
Georgia,56.0,5.0,68.0,32.0,0.1,0.1,49.0
Germany,33.0,28.0,80.0,20.0,0.1,0.1,80.0
Ghana,8.0,0.0,33.0,67.0,0.4,1.0,34.0
Haiti,23.0,3.0,42.0,58.0,0.5,1.1,58.0
Hungary,35.0,27.0,84.0,16.0,0.1,0.1,56.0
Iceland,15.0,14.0,74.0,26.0,0.1,0.1,79.0
Indonesia,76.0,3.0,64.0,36.0,0.3,0.2,17.0
Iran,21.0,1.0,75.0,25.0,0.1,0.1,20.0
Ireland,26.0,23.0,66.0,34.0,0.1,0.1,80.0
Italy,28.0,20.0,70.0,30.0,0.1,0.1,91.0
Jamaica,29.0,5.0,63.0,37.0,0.5,0.3,31.0
Japan,34.0,11.0,90.0,10.0,0.1,0.1,80.0
Kazakhstan,43.0,7.0,63.0,37.0,0.1,0.1,58.0
Kenya,20.0,1.0,37.0,63.0,1.5,2.5,68.0
Kuwait,37.0,3.0,71.0,29.0,0.1,0.1,62.0
Kyrgyz Republic,51.0,4.0,66.0,34.0,0.1,0.1,43.0
Lao PDR,51.0,7.0,55.0,45.0,0.1,0.1,54.0
Latvia,51.0,26.0,69.0,31.0,0.1,0.1,45.0
Lebanon,41.0,27.0,84.0,16.0,0.1,0.1,60.0
Lesotho,54.0,0.0,41.0,59.0,4.1,10.8,61.0
Liberia,18.0,2.0,38.0,62.0,0.4,0.8,35.0
Luxembourg,26.0,21.0,72.0,28.0,0.1,0.1,77.0
Malawi,25.0,4.0,40.0,60.0,2.0,4.3,78.0
Malaysia,42.0,1.0,83.0,17.0,0.3,0.1,48.0
Mali,23.0,2.0,36.0,64.0,0.4,1.0,31.0
Mauritius,41.0,3.0,69.0,31.0,0.2,0.2,22.0
Mexico,21.0,7.0,84.0,16.0,0.1,0.1,70.0
Moldova,45.0,6.0,60.0,40.0,0.1,0.1,34.0
Mongolia,47.0,6.0,81.0,19.0,0.1,0.1,32.0
Montenegro,48.0,44.0,88.0,12.0,0.1,0.1,40.0
Morocco,47.0,1.0,58.0,42.0,0.1,0.1,65.0
Mozambique,29.0,5.0,39.0,61.0,3.0,7.2,56.0
Myanmar,35.0,6.0,62.0,38.0,0.4,0.3,70.0
Namibia,34.0,10.0,40.0,60.0,2.6,4.5,92.0
Nepal,38.0,10.0,60.0,40.0,0.1,0.1,56.0
Netherlands,27.0,24.0,83.0,17.0,0.1,0.1,83.0
New Zealand,17.0,15.0,84.0,16.0,0.1,0.1,73.0
Niger,15.0,0.0,49.0,51.0,0.1,0.1,54.0
Nigeria,11.0,1.0,43.0,57.0,0.5,0.8,53.0
Norway,21.0,20.0,72.0,28.0,0.1,0.1,82.0
Oman,16.0,1.0,70.0,30.0,0.1,0.1,41.0
Pakistan,37.0,3.0,70.0,30.0,0.1,0.1,10.0
Panama,10.0,2.0,70.0,30.0,0.2,0.1,54.0
Papua New Guinea,49.0,24.0,42.0,58.0,0.2,0.3,65.0
Paraguay,22.0,5.0,69.0,31.0,0.2,0.2,40.0
Philippines,41.0,8.0,94.0,6.0,0.3,0.1,44.0
Portugal,30.0,16.0,71.0,29.0,0.1,0.1,90.0
Romania,37.0,23.0,64.0,36.0,0.1,0.1,67.0
Rwanda,21.0,5.0,38.0,62.0,0.5,0.9,87.0
Senegal,17.0,0.0,33.0,67.0,0.1,0.2,63.0
Serbia,40.0,38.0,84.0,16.0,0.1,0.1,65.0
Sierra Leone,41.0,9.0,39.0,61.0,0.5,1.1,41.0
Singapore,28.0,5.0,90.0,10.0,0.1,0.1,78.0
Slovak Republic,38.0,23.0,86.0,14.0,0.1,0.1,54.0
South Africa,33.0,8.0,38.0,62.0,3.7,11.3,62.0
Spain,31.0,27.0,82.0,18.0,0.1,0.1,84.0
Sri Lanka,27.0,0.0,70.0,30.0,0.1,0.1,45.0
Suriname,43.0,7.0,57.0,43.0,0.3,0.3,52.0
Tanzania,27.0,3.0,40.0,60.0,1.2,2.2,71.0
Thailand,39.0,2.0,56.0,44.0,0.3,0.2,75.0
Togo,14.0,1.0,36.0,64.0,0.5,1.0,60.0
Tunisia,66.0,1.0,67.0,33.0,0.1,0.1,39.0
Uganda,17.0,3.0,40.0,60.0,1.1,2.8,72.0
Ukraine,47.0,14.0,63.0,37.0,0.1,0.1,52.0
Uruguay,20.0,14.0,71.0,29.0,0.2,0.1,58.0
Uzbekistan,25.0,1.0,66.0,34.0,0.1,0.1,51.0
Vietnam,46.0,1.0,67.0,33.0,0.1,0.1,65.0
Yemen,29.0,8.0,78.0,22.0,0.1,0.1,21.0
Zambia,25.0,3.0,41.0,59.0,2.4,5.0,78.0
Zimbabwe,31.0,2.0,40.0,60.0,3.2,5.7,88.0
