Country,safe_water,sanitation_service,air_pollution,co2_emissions,lon,lat
Albania,70,39.9,18.2,2,19.49,41.19
Andorra,90.6,100,10.3,5.8,1.31,42.30
Armenia,86.5,48.2,32.2,1.9,44.30,40.10
Austria,98.9,96.7,12.6,6.9,16.22,48.12
Bahrain,99,96,69.9,23.5,50.34,26.14
Belarus,94.5,80.5,18.9,6.7,27.34,53.54
Belgium,99.5,97.1,12.8,8.3,4.20,50.50
Bosnia and Herzegovina,88.8,21.6,27.6,6.4,18.25,43.52
Bulgaria,96.9,64.4,19.3,5.9,23.19,42.41
Canada,98.9,82.3,6.5,15.2,-75.42,45.25
Chile,98.6,77.5,20.9,4.6,-70.40,-33.27
Colombia,73.2,17,16.6,1.8,-74.05,4.36
Croatia,90,58.5,17.8,4,16.00,45.48
Cyprus,99.6,75.5,17,5.3,33.22,35.10
Czech Republic,97.9,94.5,16.1,9.2,14.28,50.05
Denmark,96.7,94.8,10.1,5.9,12.35,55.40
Ecuador,75.1,42,15,2.8,-78.30,-0.13
Estonia,93.3,97.4,6.8,14.8,24.43,59.26
Finland,99.6,99.2,5.9,8.7,24.56,60.10
France,97.9,88.4,11.9,4.6,2.20,48.52
Georgia,80,27.2,21.8,2.4,44.47,41.43
Germany,99.8,97.2,11.9,8.9,13.24,52.31
Greece,100,90.4,16.3,6.2,23.44,37.59
Greenland,96.7,94.8,11.6,9,-51.45,64.11
Hungary,89.6,95.7,15.9,4.3,19.05,47.30
Iceland,100,81.8,6.6,6.1,-21.57,64.09
Iraq,58.8,41.1,64,4.9,44.23,33.20
Ireland,97.3,82.4,8.3,7.3,-6.14,53.19
Israel,99.4,93.7,20.8,7.9,35.14,31.46
Italy,95,96.2,16.5,5.3,12.29,41.54
Japan,98.5,98.8,11.6,9.5,139.45,35.41
Jordan,93.8,80.6,33.2,3,35.56,31.57
Korea_Rep,98.2,99.9,25.1,11.6,126.59,37.33
Kuwait,100,100,60.8,25.8,47.58,29.22
Lao PDR,16.1,58.1,25.8,0.3,102.36,17.58
Latvia,95.2,85.8,13.4,3.5,24.06,56.57
Lebanon,47.7,21.8,30.2,3.8,35.30,33.52
Lithuania,92,91.3,11.8,4.4,25.19,54.41
Luxembourg,99.7,96.6,10.3,17.4,6.07,49.36
Madagascar,81,16.6,29.6,3.6,47.31,-18.55
Maldives,93.3,88.6,15.8,8.1,73.30,4.10
Marshall Islands,100,93,13.8,5.4,171.23,7.06
Micronesia,42.9,50.4,20.7,4,158.09,6.55
Mozambique,70.3,38.8,32.9,1.8,32.35,-25.57
New Caledonia,100,97.5,12,9.9,166.27,-22.16
Nicaragua,100,88.7,6,7.7,-86.17,12.09
North Macedonia,20.1,26.7,71.4,0.5,21.26,42.00
Norway,98.3,76.3,7,9.3,10.45,59.55
Paraguay,63.9,58.5,11.6,0.9,-57.40,-25.16
Peru,50.4,42.8,25.5,2.1,-77.03,-12.03
Philippines,46.7,51.6,18.2,1.1,121.00,14.35
Poland,99.2,93.3,21,7.5,21.00,52.15
Portugal,95.3,84.7,8.1,4.3,-9.08,38.43
Qatar,96.2,96,88.2,43.9,51.32,25.17
Romania,81.9,76.5,14.5,3.5,26.06,44.26
Russian Federation,76,61.3,16.2,11.9,37.35,55.45
Samoa,58.8,48.5,11.4,1,-171.44,-13.50
Serbia,74.7,24.7,24.8,5.3,20.30,44.50
Sierra Leone,9.9,13.3,21.3,0.2,13.15,8.30
Singapore,100,100,18.8,10.3,103.51,1.17
Slovak Republic,99.8,82.5,17.4,5.7,17.07,48.09
Slovenia,98.1,83,15.9,6.2,14.13,46.03
Spain,98.4,96.6,9.7,5,-61.31,10.39
Sweden,99.9,93.4,6.1,4.5,18.03,59.20
Switzerland,95.5,99.5,10.3,4.3,7.26,46.57
Tunisia,92.7,78.1,38.5,2.6,10.11,36.48
Ukraine,92,68.5,20.6,5,32.00,49.00
United Kingdom,100,97.8,10.5,6.5,-0.10,51.30
United States,99,90,7.4,16.5,-77.02,38.53
